source;target;edge_type;weight
"Moreau2132_GALLph67";"Moreau2132_GALLph68";"precedence";"1"
"Moreau2132_GALLph68";"Moreau2132_GALLph69";"precedence";"1"
"Moreau2132_GALLph69";"Moreau2132_GALLph70";"precedence";"1"
"Moreau2132_GALLph70";"Moreau2132_GALLph71";"precedence";"1"
"Moreau2132_GALLph71";"Moreau2132_GALLph72";"precedence";"1"
"Moreau2132_GALLph72";"Moreau2132_GALLph73";"precedence";"1"
"Moreau2132_GALLph73";"Moreau2132_GALLph74";"precedence";"1"
"Moreau2132_GALLph74";"Moreau2132_GALLph75";"precedence";"1"
"Moreau2132_GALLph75";"Moreau2132_GALLph76";"precedence";"1"
"Moreau2132_GALLph76";"Moreau2132_GALLph77";"precedence";"1"
"Moreau2132_GALLph77";"Moreau2132_GALLph78";"precedence";"1"
"Moreau2132_GALLph78";"Moreau2132_GALLph79";"precedence";"1"
"Moreau2132_GALLph79";"Moreau2132_GALLph80";"precedence";"1"
"Moreau2132_GALLph80";"Moreau2132_GALLph81";"precedence";"1"
"Moreau2132_GALLph81";"Moreau2132_GALLph82";"precedence";"1"
"Moreau2132_GALLph82";"Moreau2132_GALLph83";"precedence";"1"
"Moreau2132_GALLph83";"Moreau2132_GALLph84";"precedence";"1"
"Moreau2132_GALLph84";"Moreau2132_GALLph85";"precedence";"1"
"Moreau2132_GALLph85";"Moreau2132_GALLph86";"precedence";"1"
"Moreau2132_GALLph86";"Moreau2132_GALLph87";"precedence";"1"
"Moreau2132_GALLph87";"Moreau2132_GALLph88";"precedence";"1"
"Moreau2132_GALLph88";"Moreau2132_GALLph89";"precedence";"1"
"Moreau2132_GALLph89";"Moreau2132_GALLph90";"precedence";"1"
"Moreau2132_GALLph90";"Moreau2132_GALLph91";"precedence";"1"
"Moreau2132_GALLph91";"Moreau2132_GALLph92";"precedence";"1"
"Moreau2132_GALLph92";"Moreau2132_GALLph93";"precedence";"1"
"Moreau2132_GALLph93";"Moreau2132_GALLph94";"precedence";"1"
"Moreau2132_GALLph94";"Moreau2132_GALLph95";"precedence";"1"
"Moreau2132_GALLph95";"Moreau2132_GALLph96";"precedence";"1"
"Moreau2132_GALLph96";"Moreau2132_GALLph97";"precedence";"1"
