source;target;weight;sha1;average_hash
limportante_fr;petipotiron;1;78c9f924e8272b86d0d0695304cff9a167d58f10;0000ffffffff0000
elroust;limportante_fr;1;78c9f924e8272b86d0d0695304cff9a167d58f10;0000ffffffff0000
JeanKIEFFER;limportante_fr;1;78c9f924e8272b86d0d0695304cff9a167d58f10;0000ffffffff0000
Margotte57000;limportante_fr;1;78c9f924e8272b86d0d0695304cff9a167d58f10;0000ffffffff0000
Romain_Scotto;arno_12_91;1;ed89c47a1131422644d267a544e356d892712d88;0000ffffffffffff
PdfQuebec;arno_12_91;1;cbffb545c82a136283f35ec09b7b8032f390dee1;0000ffffffffffff
PdfQuebec;Romain_Scotto;1;cbffb545c82a136283f35ec09b7b8032f390dee1;0000ffffffffffff
CdLavergne;VGB83;1;7242135fa60d17a11ea2387f215c5a62a0ec9aa5;0001057f7f7fdfff
CdLavergne;fabiennecolboc;1;7242135fa60d17a11ea2387f215c5a62a0ec9aa5;0001057f7f7fdfff
VGB83;fabiennecolboc;1;7242135fa60d17a11ea2387f215c5a62a0ec9aa5;0001057f7f7fdfff
News_Actu;titrespresse;2;3e36da09a025f7c3cfb9775dc05ac77cf1c54a5a;0001919bffef7f00
News_Actu;webissimo;1;3e36da09a025f7c3cfb9775dc05ac77cf1c54a5a;0001919bffef7f00
titrespresse;webissimo;1;3e36da09a025f7c3cfb9775dc05ac77cf1c54a5a;0001919bffef7f00
orangenewsfr;titrespresse;3;9acc0b24af3c857836af0dc6928a5c0e730efa01;000193dfff7f0003
EchiquierSocial;titrespresse;1;6aae29503202563542e5bb40ea98e699db134056;00019bdfff7f0003
IRFMx;pascalforeau;6;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
allianceVITA;pascalforeau;2;b941914f9d48a777978ee1d700ee8c9a3e30c0f9;0004f6f6e6ec6000
IRFMx;allianceVITA;1;b941914f9d48a777978ee1d700ee8c9a3e30c0f9;0004f6f6e6ec6000
Anne_Hidalgo;pascalforeau;6;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
Anne_Hidalgo;IRFMx;3;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
Anne_Hidalgo;allianceVITA;1;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
AllianceVITA63;pascalforeau;6;16bde094575c43a749dc2777f3878908184dce92;0004f6f6e6ec6000
AllianceVITA63;IRFMx;3;16bde094575c43a749dc2777f3878908184dce92;0004f6f6e6ec6000
AllianceVITA63;allianceVITA;1;16bde094575c43a749dc2777f3878908184dce92;0004f6f6e6ec6000
AllianceVITA63;Anne_Hidalgo;3;16bde094575c43a749dc2777f3878908184dce92;0004f6f6e6ec6000
de_Bevec;pascalforeau;6;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
IRFMx;de_Bevec;3;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
allianceVITA;de_Bevec;1;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
Anne_Hidalgo;de_Bevec;3;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
AllianceVITA63;de_Bevec;3;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
ReySacha1;pascalforeau;4;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
IRFMx;ReySacha1;2;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
ReySacha1;allianceVITA;1;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
Anne_Hidalgo;ReySacha1;2;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
AllianceVITA63;ReySacha1;3;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
ReySacha1;de_Bevec;2;6883de5e925871d5b076ba5a2d9b910267368328;0004f6f6e6ec6000
NPA_officiel;olbesancenot;1;8be7e10c2fa69e901cfd46302b9838df8ed2bebe;00060c1c3f3f3f27
MouetteR;OFrancois60200;1;4d73c1a8a3ecab67952232dcb912dd214fa83f42;00062220fefec1ff
Genethique;lecointrevianne;1;74867f9d9f7366dbb8221cfdf2d05ed3f0fe2855;000c1c7c6cc9d9d9
362Yra;JeanMarcVILLER;2;bacce297cfaf455ee408e7e41f3d76539bb22b7e;0010131adbdfeefa
24matins;actufr;1;330111f418187e9fb5f1b61594e640730915785e;0018183e3e3e3f3e
Enfantdabord2;MirlandPhilippe;1;c30218dcb806df07db26eda17037a52f79d1c22f;00185e564e5e1c00
MirlandPhilippe;one_sante;1;ac2befb8aca239819291ef89d0281cb07eb83520;00185e564e5e1c00
Enfantdabord2;one_sante;1;ac2befb8aca239819291ef89d0281cb07eb83520;00185e564e5e1c00
Genethique;MarchePourLaVie;1;a59c545c49e713c7b029eedd42ae2d385bd265ce;0018ff3c3c3c3c18
24NewsLive;vincent_martet;4;79ebac48f3e7421e44a461f4a342cc3587faa4ef;00193ad881e0f7b8
franceinfo;vincent_martet;6;79ebac48f3e7421e44a461f4a342cc3587faa4ef;00193ad881e0f7b8
24NewsLive;franceinfo;4;79ebac48f3e7421e44a461f4a342cc3587faa4ef;00193ad881e0f7b8
MichelJanva;abbepages;1;7c55ee079f5f21fe5347572722b640f81bcfff28;001c3c00ffffffff
AndersonDX;mercy0011;8;09f59ec44d7a4a8333c2f34ee9ba1b83ff8c34ae;001c58706e47cf04
Civitas_;InfoMdia;1;3ebbd1adb538e480be5806d72163640fa3ba041f;001e6e7c0010ffff
lejdc_fr;lyonne_fr;2;ee45f54fe69b4bf411b1fcd37a9362dbbc592594;00201c3e7e3c3430
lecho_fr;lejdc_fr;3;ee45f54fe69b4bf411b1fcd37a9362dbbc592594;00201c3e7e3c3430
