Source;Target;LinkType;Weight;AverageHash;Sha1;Category
nathalielavi;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
jeanclaudepeyra;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
lollimeur;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;Frugheon_D;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;Frugheon_D;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;LouiseM71493518;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;LouiseM71493518;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;LouiseM71493518;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;Enfantdabord2;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;Foulisou;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;Frugheon_D;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;LouiseM71493518;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
dede17_86;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
dede17_86;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
dede17_86;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
